Name,Student Number,Employee Number,email,GTA,Program,Full Time,Year In Program,Min Hours,Preferred Hours,Max Hours,Study Permit,Prior TA?,Courses TAed Before,Pref Subjects,Average Grade,,,,
TA5021,500021,Emp5021,TA5021@hotmail.com,UTA,F1,1,2,0,8,12,1,1,,F1;F4,92,,,,
TA5022,500022,Emp5022,TA5022@hotmail.com,UTA,F1,1,1,0,10,12,1,0,,F1;F4,80.8,,,,
TA5023,500023,Emp5023,TA5023@hotmail.com,UTA,F1,1,2,0,10,12,1,1,,F1;F2,78.6,,,,
TA5024,500024,Emp5024,TA5024@hotmail.com,UTA,F1,1,4,0,6,12,1,1,,F1;F2,74.3,,,,
TA5025,500025,Emp5025,TA5025@hotmail.com,UTA,F1,1,3,0,10,12,1,0,,F1;F2,89.4,,,,
TA5026,500026,Emp5026,TA5026@hotmail.com,UTA,F1,1,3,0,8,12,1,1,,F1;F2,81.6,,,,
TA5027,500027,Emp5027,TA5027@hotmail.com,UTA,F1,1,2,0,6,12,1,1,,F1;F4,62.4,,,,
TA5028,500028,Emp5028,TA5028@hotmail.com,UTA,F1,1,4,0,10,12,1,1,,F1;F4,73.7,,,,
TA5029,500029,Emp5029,TA5029@hotmail.com,UTA,F1,1,2,0,12,12,1,0,,F1;F4,85.7,,,,
TA5030,500030,Emp5030,TA5030@hotmail.com,UTA,F1,1,1,0,8,12,1,1,,F1;F4,93.6,,,,
TA5031,500031,Emp5031,TA5031@hotmail.com,UTA,F1,1,2,0,10,12,1,1,,F1;F4,79.6,,,,
TA5032,500032,Emp5032,TA5032@hotmail.com,UTA,F1,1,4,0,8,12,1,1,,F1;F2,67,,,,
TA5033,500033,Emp5033,TA5033@hotmail.com,UTA,F1,1,2,0,8,12,1,1,,F1;F2,82.6,,,,
TA5034,500034,Emp5034,TA5034@hotmail.com,UTA,F1,1,2,0,8,12,1,0,,F1;F4,73.5,,,,
TA5035,500035,Emp5035,TA5035@hotmail.com,UTA,F1,1,2,0,6,12,1,0,,F1;F2,65.5,,,,
TA5036,500036,Emp5036,TA5036@hotmail.com,UTA,F1,1,4,0,12,12,1,0,,F1;F4,88.8,,,,
TA5037,500037,Emp5037,TA5037@hotmail.com,UTA,F1,1,1,0,10,12,1,0,,F1;F2,79.5,,,,
TA5038,500038,Emp5038,TA5038@hotmail.com,UTA,F1,1,1,0,8,12,1,0,,F1;F2,83.3,,,,
TA5039,500039,Emp5039,TA5039@hotmail.com,UTA,F1,1,1,0,8,12,1,0,,F1;F2,93.6,,,,
TA5040,500040,Emp5040,TA5040@hotmail.com,UTA,F1,1,3,0,12,12,1,0,,F1;F2,75.4,,,,
TA5041,500041,Emp5041,TA5041@hotmail.com,UTA,F1,1,2,0,12,12,1,1,,F1;F4,93.1,,,,
TA5042,500042,Emp5042,TA5042@hotmail.com,UTA,F1,1,2,0,12,12,1,1,,F1;F4,83.4,,,,
TA5043,500043,Emp5043,TA5043@hotmail.com,UTA,F1,1,1,0,8,12,1,1,,F1;F2,75.4,,,,
TA5044,500044,Emp5044,TA5044@hotmail.com,UTA,F1,1,3,0,12,12,1,0,,F1;F2,77.3,,,,
TA5045,500045,Emp5045,TA5045@hotmail.com,UTA,F1,1,2,0,10,12,1,1,,F1;F4,94.8,,,,
TA5046,500046,Emp5046,TA5046@hotmail.com,UTA,F1,1,2,0,10,12,1,0,,F1;F4,94.1,,,,
TA5047,500047,Emp5047,TA5047@hotmail.com,UTA,F1,1,1,0,6,12,1,0,,F1;F2,94.7,,,,
TA5048,500048,Emp5048,TA5048@hotmail.com,UTA,F1,1,4,0,6,12,1,1,,F1;F2,83.3,,,,
TA5049,500049,Emp5049,TA5049@hotmail.com,UTA,F1,1,4,0,10,12,1,0,,F1;F4,72.9,,,,
TA5050,500050,Emp5050,TA5050@hotmail.com,UTA,F1,1,4,0,6,12,1,0,,F1;F4,64.5,,,,
TA5051,500051,Emp5051,TA5051@hotmail.com,UTA,F1,1,1,0,6,12,1,0,,F1;F2,90.8,,,,
TA5052,500052,Emp5052,TA5052@hotmail.com,UTA,F1,1,1,0,10,12,1,0,,F1;F2,80.9,,,,
TA5053,500053,Emp5053,TA5053@hotmail.com,UTA,F1,1,2,0,12,12,1,0,,F1;F2,78.6,,,,
TA5054,500054,Emp5054,TA5054@hotmail.com,UTA,F1,1,3,0,12,12,1,0,,F1;F2,74.5,,,,
TA5055,500055,Emp5055,TA5055@hotmail.com,UTA,F1,1,1,0,12,12,1,1,,F1;F4,73.9,,,,
TA5056,500056,Emp5056,TA5056@hotmail.com,UTA,F1,1,4,0,6,12,1,0,,F1;F2,64.7,,,,
TA5057,500057,Emp5057,TA5057@hotmail.com,UTA,F1,1,1,0,12,12,1,1,,F1;F2,97,,,,
TA5058,500058,Emp5058,TA5058@hotmail.com,UTA,F1,1,1,0,10,12,1,1,,F1;F2,95.2,,,,
TA5059,500059,Emp5059,TA5059@hotmail.com,UTA,F1,1,2,0,12,12,1,1,,F1;F2,91.4,,,,
TA5060,500060,Emp5060,TA5060@hotmail.com,UTA,F1,1,3,0,10,12,1,1,,F1;F4,86,,,,
TA5061,500061,Emp5061,TA5061@hotmail.com,UTA,F1,1,2,0,8,12,1,0,,F1;F2,66.1,,,,
TA5062,500062,Emp5062,TA5062@hotmail.com,UTA,F1,1,3,0,8,12,1,1,,F1;F2,71,,,,
TA5063,500063,Emp5063,TA5063@hotmail.com,UTA,F1,1,4,0,6,12,1,1,,F1;F4,75.1,,,,
TA5064,500064,Emp5064,TA5064@hotmail.com,UTA,F1,1,2,0,6,12,1,1,,F1;F4,84.1,,,,
TA5065,500065,Emp5065,TA5065@hotmail.com,UTA,F1,1,2,0,8,12,1,1,,F1;F4,87.8,,,,
TA5066,500066,Emp5066,TA5066@hotmail.com,UTA,F1,1,3,0,8,12,1,0,,F1;F4,88.4,,,,
TA5067,500067,Emp5067,TA5067@hotmail.com,UTA,F1,1,4,0,6,12,1,1,,F1;F4,75.3,,,,
TA5068,500068,Emp5068,TA5068@hotmail.com,UTA,F1,1,1,0,10,12,1,1,,F1;F4,71,,,,
TA5069,500069,Emp5069,TA5069@hotmail.com,UTA,F1,1,3,0,12,12,1,1,,F1;F2,78.2,,,,
TA5070,500070,Emp5070,TA5070@hotmail.com,UTA,F1,1,1,0,8,12,1,1,,F1;F4,83,,,,
TA5071,500071,Emp5071,TA5071@hotmail.com,UTA,F1,1,4,0,8,12,1,1,,F1;F4,94,,,,
TA5072,500072,Emp5072,TA5072@hotmail.com,UTA,F1,1,2,0,6,12,1,0,,F1;F4,74.8,,,,
TA5073,500073,Emp5073,TA5073@hotmail.com,UTA,F1,1,4,0,6,12,1,0,,F1;F2,72.5,,,,
TA5074,500074,Emp5074,TA5074@hotmail.com,UTA,F1,1,1,0,12,12,1,0,,F1;F4,77.3,,,,
TA5075,500075,Emp5075,TA5075@hotmail.com,UTA,F1,1,4,0,8,12,1,1,,F1;F4,70.5,,,,
TA5076,500076,Emp5076,TA5076@hotmail.com,UTA,F1,1,2,0,6,12,1,1,,F1;F4,74,,,,
TA5077,500077,Emp5077,TA5077@hotmail.com,UTA,F1,1,4,0,12,12,1,1,,F1;F2,80.7,,,,
TA5078,500078,Emp5078,TA5078@hotmail.com,UTA,F1,1,4,0,6,12,1,0,,F1;F4,95.7,,,,
TA5079,500079,Emp5079,TA5079@hotmail.com,UTA,F1,1,3,0,8,12,1,0,,F1;F4,62.4,,,,
TA5080,500080,Emp5080,TA5080@hotmail.com,UTA,F1,1,2,0,8,12,1,1,,F1;F2,84.7,,,,
TA5081,500081,Emp5081,TA5081@hotmail.com,UTA,F1,1,3,0,10,12,1,1,,F1;F4,89.3,,,,
TA5082,500082,Emp5082,TA5082@hotmail.com,UTA,F1,1,4,0,6,12,1,0,,F1;F4,94.8,,,,
TA5083,500083,Emp5083,TA5083@hotmail.com,UTA,F1,1,4,0,12,12,1,1,,F1;F4,72.2,,,,
TA5084,500084,Emp5084,TA5084@hotmail.com,UTA,F1,1,2,0,12,12,1,0,,F1;F4,63.9,,,,
TA5085,500085,Emp5085,TA5085@hotmail.com,UTA,F1,1,3,0,10,12,1,0,,F1;F2,92.5,,,,
TA5086,500086,Emp5086,TA5086@hotmail.com,UTA,F1,1,1,0,6,12,1,0,,F1;F2,70.8,,,,
TA5087,500087,Emp5087,TA5087@hotmail.com,UTA,F1,1,4,0,12,12,1,1,,F1;F2,96,,,,
TA5088,500088,Emp5088,TA5088@hotmail.com,UTA,F1,1,4,0,12,12,1,1,,F1;F4,64.5,,,,
TA5089,500089,Emp5089,TA5089@hotmail.com,UTA,F1,1,3,0,8,12,1,1,,F1;F2,68.1,,,,
TA5090,500090,Emp5090,TA5090@hotmail.com,UTA,F1,1,2,0,6,12,1,1,,F1;F4,76,,,,
TA5091,500091,Emp5091,TA5091@hotmail.com,UTA,F1,1,3,0,8,12,1,1,,F1;F2,71.3,,,,
TA5092,500092,Emp5092,TA5092@hotmail.com,UTA,F1,1,3,0,10,12,1,1,,F1;F2,89.7,,,,
TA5093,500093,Emp5093,TA5093@hotmail.com,UTA,F1,1,4,0,10,12,1,1,,F1;F4,65.4,,,,
TA6094,600094,Emp6094,TA6094@hotmail.com,GTA1,F1,1,5,10,10,12,1,1,,F1;F2,,,,,
TA6095,600095,Emp6095,TA6095@hotmail.com,GTA2,F1,1,6,6,8,12,1,1,,F1;F2,,,,,
TA6096,600096,Emp6096,TA6096@hotmail.com,GTA2,F1,1,5,8,8,12,1,1,,F1;F4,,,,,
TA6097,600097,Emp6097,TA6097@hotmail.com,GTA2,F1,1,5,10,12,12,1,1,,F1;F4,,,,,
TA6098,600098,Emp6098,TA6098@hotmail.com,GTA2,F1,1,6,4,10,12,1,1,,F1;F4,,,,,
TA6099,600099,Emp6099,TA6099@hotmail.com,GTA2,F1,1,6,12,12,12,1,0,,F1;F2,,,,,
TA6100,600100,Emp6100,TA6100@hotmail.com,GTA1,F1,1,5,10,10,12,1,0,,F1;F2,,,,,
TA6101,600101,Emp6101,TA6101@hotmail.com,GTA1,F1,1,6,6,10,12,1,1,,F1;F2,,,,,
TA6102,600102,Emp6102,TA6102@hotmail.com,GTA1,F1,1,5,12,12,12,1,1,,F1;F2,,,,,
TA6103,600103,Emp6103,TA6103@hotmail.com,GTA2,F1,1,6,10,12,12,1,1,,F1;F2,,,,,
TA6104,600104,Emp6104,TA6104@hotmail.com,GTA2,F1,1,5,12,12,12,1,1,,F1;F4,,,,,
TA6105,600105,Emp6105,TA6105@hotmail.com,GTA1,F1,1,6,4,12,12,1,1,,F1;F4,,,,,
TA6106,600106,Emp6106,TA6106@hotmail.com,GTA1,F1,1,5,12,12,12,1,1,,F1;F2,,,,,
TA6107,600107,Emp6107,TA6107@hotmail.com,GTA1,F1,1,5,4,10,12,1,1,,F1;F2,,,,,
TA6108,600108,Emp6108,TA6108@hotmail.com,GTA1,F1,1,5,4,12,12,1,0,,F1;F4,,,,,
TA6109,600109,Emp6109,TA6109@hotmail.com,GTA2,F1,1,6,6,8,12,1,0,,F1;F2,,,,,
TA6110,600110,Emp6110,TA6110@hotmail.com,GTA1,F1,1,6,12,12,12,1,1,,F1;F2,,,,,
TA6111,600111,Emp6111,TA6111@hotmail.com,GTA1,F1,1,5,10,10,12,1,0,,F1;F2,,,,,
TA6112,600112,Emp6112,TA6112@hotmail.com,GTA2,F1,1,6,6,8,12,1,0,,F1;F2,,,,,
TA6113,600113,Emp6113,TA6113@hotmail.com,GTA2,F1,1,6,4,10,12,1,1,,F1;F4,,,,,
TA6114,600114,Emp6114,TA6114@hotmail.com,GTA1,F1,1,6,10,10,12,1,1,,F1;F2,,,,,
TA6115,600115,Emp6115,TA6115@hotmail.com,GTA2,F1,1,6,12,12,12,1,1,,F1;F4,,,,,
TA6116,600116,Emp6116,TA6116@hotmail.com,GTA1,F1,1,5,12,12,12,1,1,,F1;F2,,,,,
TA6117,600117,Emp6117,TA6117@hotmail.com,GTA2,F1,1,6,12,12,12,1,0,,F1;F2,,,,,
TA6118,600118,Emp6118,TA6118@hotmail.com,GTA1,F1,1,5,12,12,12,1,0,,F1;F4,,,,,
TA6119,600119,Emp6119,TA6119@hotmail.com,GTA1,F1,1,5,8,8,12,1,0,,F1;F4,,,,,
TA5120,500120,Emp5120,TA5120@hotmail.com,UTA,F4,1,2,0,8,12,1,1,,F4;F1,79.6,,,,
TA5121,500121,Emp5121,TA5121@hotmail.com,UTA,F4,1,3,0,10,12,1,1,,F4;F1,79.1,,,,
TA5122,500122,Emp5122,TA5122@hotmail.com,UTA,F4,1,2,0,8,12,1,0,,F4;F3,76.7,,,,
TA5123,500123,Emp5123,TA5123@hotmail.com,UTA,F4,1,2,0,12,12,1,0,,F4;F1,83.5,,,,
TA5124,500124,Emp5124,TA5124@hotmail.com,UTA,F4,1,4,0,8,12,1,1,,F4;F3,62.4,,,,
TA5125,500125,Emp5125,TA5125@hotmail.com,UTA,F4,1,2,0,10,12,1,1,,F4;F1,83.5,,,,
TA5126,500126,Emp5126,TA5126@hotmail.com,UTA,F4,1,3,0,8,12,1,1,,F4;F1,73.5,,,,
TA5127,500127,Emp5127,TA5127@hotmail.com,UTA,F4,1,3,0,12,12,1,1,,F4;F3,63.7,,,,
TA5128,500128,Emp5128,TA5128@hotmail.com,UTA,F4,1,3,0,8,12,1,0,,F4;F1,72.3,,,,
TA5129,500129,Emp5129,TA5129@hotmail.com,UTA,F4,1,3,0,8,12,1,0,,F4;F1,63.5,,,,
TA5130,500130,Emp5130,TA5130@hotmail.com,UTA,F4,1,2,0,8,12,1,1,,F4;F1,80.5,,,,
TA5131,500131,Emp5131,TA5131@hotmail.com,UTA,F4,1,2,0,10,12,1,1,,F4;F1,64.9,,,,
TA5132,500132,Emp5132,TA5132@hotmail.com,UTA,F4,1,1,0,6,12,1,1,,F4;F1,66.5,,,,
TA5133,500133,Emp5133,TA5133@hotmail.com,UTA,F4,1,1,0,10,12,1,0,,F4;F1,84.1,,,,
TA5134,500134,Emp5134,TA5134@hotmail.com,UTA,F4,1,1,0,6,12,1,1,,F4;F3,89,,,,
TA5135,500135,Emp5135,TA5135@hotmail.com,UTA,F4,1,3,0,8,12,1,1,,F4;F1,66.5,,,,
TA5136,500136,Emp5136,TA5136@hotmail.com,UTA,F4,1,1,0,8,12,1,0,,F4;F3,76.2,,,,
TA5137,500137,Emp5137,TA5137@hotmail.com,UTA,F4,1,4,0,12,12,1,1,,F4;F3,83,,,,
TA5138,500138,Emp5138,TA5138@hotmail.com,UTA,F4,1,2,0,12,12,1,0,,F4;F3,78.3,,,,
TA5139,500139,Emp5139,TA5139@hotmail.com,UTA,F4,1,3,0,6,12,1,0,,F4;F3,66.5,,,,
TA5140,500140,Emp5140,TA5140@hotmail.com,UTA,F4,1,1,0,10,12,1,0,,F4;F3,72,,,,
TA5141,500141,Emp5141,TA5141@hotmail.com,UTA,F4,1,1,0,10,12,1,0,,F4;F1,90.5,,,,
TA5142,500142,Emp5142,TA5142@hotmail.com,UTA,F4,1,4,0,10,12,1,0,,F4;F3,82.5,,,,
TA6143,600143,Emp6143,TA6143@hotmail.com,GTA2,F4,1,5,12,12,12,1,0,,F4;F1,,,,,
TA6144,600144,Emp6144,TA6144@hotmail.com,GTA1,F4,1,5,12,12,12,1,0,,F4;F3,,,,,
TA6145,600145,Emp6145,TA6145@hotmail.com,GTA1,F4,1,5,6,10,12,1,0,,F4;F1,,,,,
TA6146,600146,Emp6146,TA6146@hotmail.com,GTA1,F4,1,6,6,12,12,1,0,,F4;F3,,,,,
TA6147,600147,Emp6147,TA6147@hotmail.com,GTA2,F4,1,5,8,12,12,1,1,,F4;F1,,,,,
TA6148,600148,Emp6148,TA6148@hotmail.com,GTA1,F4,1,6,12,12,12,1,1,,F4;F1,,,,,
TA6149,600149,Emp6149,TA6149@hotmail.com,GTA2,F4,1,5,10,10,12,1,0,,F4;F3,,,,,
TA5150,500150,Emp5150,TA5150@hotmail.com,UTA,F3,1,4,0,6,12,1,1,,F3;F4,95.2,,,,
TA5151,500151,Emp5151,TA5151@hotmail.com,UTA,F3,1,4,0,10,12,1,0,,F3;F4,79.4,,,,
TA5152,500152,Emp5152,TA5152@hotmail.com,UTA,F3,1,3,0,10,12,1,1,,F3;F4,63.9,,,,
TA5153,500153,Emp5153,TA5153@hotmail.com,UTA,F3,1,3,0,10,12,1,1,,F3;F4,74.3,,,,
TA5154,500154,Emp5154,TA5154@hotmail.com,UTA,F3,1,2,0,12,12,1,1,,F3;F4,75.3,,,,
TA5155,500155,Emp5155,TA5155@hotmail.com,UTA,F3,1,4,0,12,12,1,0,,F3;F4,83.5,,,,
TA5156,500156,Emp5156,TA5156@hotmail.com,UTA,F3,1,2,0,12,12,1,0,,F3;F4,85.7,,,,
TA5157,500157,Emp5157,TA5157@hotmail.com,UTA,F3,1,3,0,6,12,1,0,,F3;F4,66.5,,,,
TA5158,500158,Emp5158,TA5158@hotmail.com,UTA,F3,1,1,0,6,12,1,0,,F3;F4,71.8,,,,
TA5159,500159,Emp5159,TA5159@hotmail.com,UTA,F3,1,1,0,12,12,1,1,,F3;F4,90.2,,,,
TA5160,500160,Emp5160,TA5160@hotmail.com,UTA,F3,1,3,0,10,12,1,1,,F3;F4,67.5,,,,
TA5161,500161,Emp5161,TA5161@hotmail.com,UTA,F3,1,2,0,10,12,1,0,,F3;F4,82.6,,,,
TA5162,500162,Emp5162,TA5162@hotmail.com,UTA,F3,1,4,0,6,12,1,0,,F3;F4,79.5,,,,
TA5163,500163,Emp5163,TA5163@hotmail.com,UTA,F3,1,1,0,8,12,1,0,,F3;F4,60.3,,,,
TA5164,500164,Emp5164,TA5164@hotmail.com,UTA,F3,1,2,0,10,12,1,1,,F3;F4,69,,,,
TA5165,500165,Emp5165,TA5165@hotmail.com,UTA,F3,1,2,0,8,12,1,1,,F3;F4,67.2,,,,
TA5166,500166,Emp5166,TA5166@hotmail.com,UTA,F3,1,4,0,12,12,1,0,,F3;F4,64.2,,,,
TA5167,500167,Emp5167,TA5167@hotmail.com,UTA,F3,1,3,0,6,12,1,0,,F3;F4,83.3,,,,
TA5168,500168,Emp5168,TA5168@hotmail.com,UTA,F3,1,3,0,12,12,1,1,,F3;F4,85.2,,,,
TA5169,500169,Emp5169,TA5169@hotmail.com,UTA,F3,1,2,0,12,12,1,0,,F3;F4,79.9,,,,
TA5170,500170,Emp5170,TA5170@hotmail.com,UTA,F3,1,4,0,10,12,1,0,,F3;F4,87.3,,,,
TA5171,500171,Emp5171,TA5171@hotmail.com,UTA,F3,1,4,0,12,12,1,1,,F3;F4,78.5,,,,
TA5172,500172,Emp5172,TA5172@hotmail.com,UTA,F3,1,4,0,10,12,1,0,,F3;F4,76.3,,,,
TA5173,500173,Emp5173,TA5173@hotmail.com,UTA,F3,1,3,0,12,12,1,0,,F3;F4,75.6,,,,
TA5174,500174,Emp5174,TA5174@hotmail.com,UTA,F3,1,1,0,12,12,1,1,,F3;F4,85.8,,,,
TA5175,500175,Emp5175,TA5175@hotmail.com,UTA,F3,1,1,0,8,12,1,1,,F3;F4,78.5,,,,
TA5176,500176,Emp5176,TA5176@hotmail.com,UTA,F3,1,4,0,12,12,1,1,,F3;F4,76.8,,,,
TA5177,500177,Emp5177,TA5177@hotmail.com,UTA,F3,1,2,0,10,12,1,1,,F3;F4,72.5,,,,
TA5178,500178,Emp5178,TA5178@hotmail.com,UTA,F3,1,3,0,10,12,1,0,,F3;F4,73.9,,,,
TA5179,500179,Emp5179,TA5179@hotmail.com,UTA,F3,1,2,0,12,12,1,0,,F3;F4,93.5,,,,
TA5180,500180,Emp5180,TA5180@hotmail.com,UTA,F3,1,1,0,8,12,1,0,,F3;F4,64.3,,,,
TA5181,500181,Emp5181,TA5181@hotmail.com,UTA,F3,1,4,0,12,12,1,1,,F3;F4,83.2,,,,
TA5182,500182,Emp5182,TA5182@hotmail.com,UTA,F3,1,3,0,8,12,1,0,,F3;F4,78.4,,,,
TA5183,500183,Emp5183,TA5183@hotmail.com,UTA,F3,1,1,0,12,12,1,0,,F3;F4,77.3,,,,
TA5184,500184,Emp5184,TA5184@hotmail.com,UTA,F3,1,3,0,6,12,1,0,,F3;F4,95.7,,,,
TA5185,500185,Emp5185,TA5185@hotmail.com,UTA,F3,1,3,0,10,12,1,1,,F3;F4,63.8,,,,
TA5186,500186,Emp5186,TA5186@hotmail.com,UTA,F3,1,3,0,6,12,1,1,,F3;F4,74.6,,,,
TA5187,500187,Emp5187,TA5187@hotmail.com,UTA,F3,1,1,0,10,12,1,0,,F3;F4,71.7,,,,
TA5188,500188,Emp5188,TA5188@hotmail.com,UTA,F3,1,3,0,12,12,1,1,,F3;F4,89.6,,,,
TA5189,500189,Emp5189,TA5189@hotmail.com,UTA,F3,1,4,0,12,12,1,1,,F3;F4,84.8,,,,
TA5190,500190,Emp5190,TA5190@hotmail.com,UTA,F3,1,1,0,10,12,1,1,,F3;F4,77,,,,
TA5191,500191,Emp5191,TA5191@hotmail.com,UTA,F3,1,2,0,6,12,1,1,,F3;F4,86.5,,,,
TA5192,500192,Emp5192,TA5192@hotmail.com,UTA,F3,1,2,0,10,12,1,1,,F3;F4,74.6,,,,
TA5193,500193,Emp5193,TA5193@hotmail.com,UTA,F3,1,2,0,6,12,1,1,,F3;F4,74,,,,
TA5194,500194,Emp5194,TA5194@hotmail.com,UTA,F3,1,1,0,12,12,1,1,,F3;F4,67.4,,,,
TA5195,500195,Emp5195,TA5195@hotmail.com,UTA,F3,1,3,0,10,12,1,1,,F3;F4,82.5,,,,
TA5196,500196,Emp5196,TA5196@hotmail.com,UTA,F3,1,4,0,6,12,1,1,,F3;F4,83.4,,,,
TA6197,600197,Emp6197,TA6197@hotmail.com,GTA1,F3,1,5,8,8,12,1,0,,F3;F4,,,,,
TA6198,600198,Emp6198,TA6198@hotmail.com,GTA2,F3,1,6,6,6,12,1,0,,F3;F4,,,,,
TA6199,600199,Emp6199,TA6199@hotmail.com,GTA2,F3,1,6,6,12,12,1,1,,F3;F4,,,,,
TA6200,600200,Emp6200,TA6200@hotmail.com,GTA2,F3,1,6,4,6,12,1,1,,F3;F4,,,,,
TA6201,600201,Emp6201,TA6201@hotmail.com,GTA1,F3,1,6,4,8,12,1,1,,F3;F4,,,,,
TA6202,600202,Emp6202,TA6202@hotmail.com,GTA2,F3,1,6,10,12,12,1,1,,F3;F4,,,,,
TA6203,600203,Emp6203,TA6203@hotmail.com,GTA2,F3,1,6,10,10,12,1,0,,F3;F4,,,,,
TA6204,600204,Emp6204,TA6204@hotmail.com,GTA2,F3,1,6,8,8,12,1,1,,F3;F4,,,,,
TA6205,600205,Emp6205,TA6205@hotmail.com,GTA2,F3,1,5,10,10,12,1,0,,F3;F4,,,,,
TA6206,600206,Emp6206,TA6206@hotmail.com,GTA1,F3,1,6,10,10,12,1,1,,F3;F4,,,,,
TA6207,600207,Emp6207,TA6207@hotmail.com,GTA1,F3,1,5,8,10,12,1,1,,F3;F4,,,,,
TA6208,600208,Emp6208,TA6208@hotmail.com,GTA1,F3,1,5,6,8,12,1,1,,F3;F4,,,,,
TA6209,600209,Emp6209,TA6209@hotmail.com,GTA2,F3,1,6,10,10,12,1,1,,F3;F4,,,,,
TA5210,500210,Emp5210,TA5210@hotmail.com,UTA,F2,1,2,0,10,12,1,1,,F2;F1,84.9,,,,
TA5211,500211,Emp5211,TA5211@hotmail.com,UTA,F2,1,3,0,10,12,1,0,,F2;F1,61.4,,,,
TA5212,500212,Emp5212,TA5212@hotmail.com,UTA,F2,1,4,0,6,12,1,1,,F2;F1,95.5,,,,
TA5213,500213,Emp5213,TA5213@hotmail.com,UTA,F2,1,3,0,12,12,1,1,,F2;F1,86.6,,,,
TA5214,500214,Emp5214,TA5214@hotmail.com,UTA,F2,1,3,0,12,12,1,1,,F2;F1,92.4,,,,
TA5215,500215,Emp5215,TA5215@hotmail.com,UTA,F2,1,1,0,8,12,1,0,,F2;F1,73.7,,,,
TA5216,500216,Emp5216,TA5216@hotmail.com,UTA,F2,1,1,0,12,12,1,0,,F2;F1,95.8,,,,
TA5217,500217,Emp5217,TA5217@hotmail.com,UTA,F2,1,4,0,6,12,1,1,,F2;F1,78.2,,,,
TA5218,500218,Emp5218,TA5218@hotmail.com,UTA,F2,1,1,0,6,12,1,1,,F2;F1,61.5,,,,
TA5219,500219,Emp5219,TA5219@hotmail.com,UTA,F2,1,4,0,6,12,1,0,,F2;F1,87.4,,,,
TA5220,500220,Emp5220,TA5220@hotmail.com,UTA,F2,1,4,0,10,12,1,0,,F2;F1,67.8,,,,
TA5221,500221,Emp5221,TA5221@hotmail.com,UTA,F2,1,2,0,12,12,1,1,,F2;F1,94.4,,,,
TA5222,500222,Emp5222,TA5222@hotmail.com,UTA,F2,1,3,0,8,12,1,1,,F2;F1,84.2,,,,
TA5223,500223,Emp5223,TA5223@hotmail.com,UTA,F2,1,1,0,10,12,1,0,,F2;F1,84.9,,,,
